Location,Menu_Item,Energy (KCAL),Protein (G),Total lipid(fat) (G),Carbohydrate (G),Fiber (G),Sodium (MG),Cholesterol (MG)
10,Fettuccine Alfredo,220.1818181818182,8.997727272727273,5.900454545454545,32.79818181818182,1.5454545454545459,552.8181818181819,22.285714285714285
85,Pan Roasted Boneless Half Chicken,330.5,22.77,25.895,25.0,10.7,321.5,11.0
125,Small Dippin Dots ,350.8,4.884,12.87,57.79,1.2,252.8,29.2
10,The Original Clubhouse Cheeseburger ,433.0,6.67,13.33,70.0,3.3,967.0,0
85,Grilled Portobello Mushroom Burger ,129.2608695652174,5.487500000000001,5.010416666666667,14.608333333333334,1.8499999999999999,329.9583333333333,17.652173913043477
85,Calamari Fritti ,105.66666666666667,13.469999999999999,2.476666666666667,6.53,0.24,128.0,202.0
108,Mozzarella Sticks,316.8333333333333,14.165,15.906666666666666,28.731666666666666,0.7666666666666667,746.1666666666666,29.5
125,Cakes,405.6666666666667,4.536666666666666,21.30666666666667,52.196666666666665,2.9666666666666663,318.0,64.66666666666667
85,Grilled Artichoke ,139.46666666666667,2.529333333333333,11.58666666666667,8.743333333333334,4.414285714285714,537.8666666666667,0.0
10,Gorgonzola Chicken Skewers,110.2,19.628,1.81,2.7239999999999993,0.0,501.2,54.8
207,Pretzel Bites,378.0,6.885,11.315,63.07,2.15,457.0,0.0
10,Albacore Tuna Wrap ,159.2,24.040000000000003,6.458399999999999,1.886818181818182,0.24500000000000002,263.08,33.8
108,Clubhouse Wings,433.0,6.67,13.33,70.0,3.3,967.0,0
85,Clubhouse Cowboy Steak ,309.0,10.348,14.254999999999999,38.0,1.65,2510.8,66.5
108,Bavarian French Toast,265.53846153846155,7.999999999999999,4.423076923076923,48.474615384615376,2.1538461538461537,441.46153846153845,31.53846153846154
108,Fountain Drinks,166.5,0.0,0.0,41.665,0,458.5,0
10,Garlic Mashed Potatoes,249.47619047619048,4.61952380952381,7.47047619047619,41.18619047619048,3.385714285714286,1071.857142857143,9.052631578947368
125,Pretzel Bites,378.0,6.885,11.315,63.07,2.15,457.0,0.0
108,Large Cheese Pizza,244.0,8.89,8.89,31.85,1.5,444.0,15.0
60,Pretzel Bites,378.0,6.885,11.315,63.07,2.15,457.0,0.0
85,Grilled Salmon Chopped Salad ,135.07692307692307,9.743846153846155,4.485384615384615,13.466923076923079,0.6,2830.769230769231,24.53846153846154
10,Clubhouse Fried Shrimp,379.0,9.543333333333333,13.200000000000001,54.51,3.0,974.0,76.0
108,Double Cut Pork Chop ,164.44444444444446,19.226666666666667,8.915,0.6577777777777777,0.1,268.8333333333333,60.44444444444444
85,Mozzarella Sticks,316.8333333333333,14.165,15.906666666666666,28.731666666666666,0.7666666666666667,746.1666666666666,29.5
85,Carne Asada Pizza,137.20833333333334,8.385416666666666,5.260526315789474,20.223809523809525,2.2071428571428573,4530.791666666667,20.625
207,Lollipops,389.28,0.0,0.18291666666666664,96.04839999999999,0.0,28.291666666666668,0.0
85,Southwestern Wrap ,188.0,10.59,6.67,21.18,3.1,596.0,18.0
10,Filet Mignon Stroganoff ,268.3333333333333,24.72666666666667,16.189999999999998,5.67375,0.6,313.22222222222223,77.55555555555556
10,Southwest Egg Rolls,218.0,10.59,7.06,27.06,2.95,529.0,24.0
108,French Onion,180.8181818181818,3.1809090909090902,15.682380952380957,7.2890476190476186,0.21428571428571427,643.5454545454545,53.888888888888886
10,Howie s Hummus ,19.5,0.875,0.0,5.26,2.2,535.0,0.0
85,Bosc Pear Flatbread,60.0,0.6,0.0,15.66,3.6,0.0,0.0
10,Three Cheese Baked Penne,180.0,8.23,9.915,14.605,0.65,335.5,32.5
108,Bosc Pear Flatbread,60.0,0.6,0.0,15.66,3.6,0.0,0.0
